record_id,doi,study_site,track,intervention,climate_tag,lcz_tag,author_year,title,journal,city,country,outcome,design,source_review
B153,10.1016/j.ufug.2016.09.001,"mainz:Linden, Fonti & Esper 2016",B,greening,,,"Linden, Fonti & Esper 2016","Temporal variations in microclimate cooling induced by urban trees in Mainz, Germany",Urban Forestry and Urban Greening,Mainz,Germany,tree-induced air temperature cooling,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B154,10.1016/s0301-4215(00)00023-9,not-specified:Haas_Biermayr_2000,B,retrofit,,,Haas_Biermayr_2000,The rebound effect for space heating: empirical evidence from Austria,Energy Policy,not specified,Austria,measured space-heating consumption in retrofitted homes; empirical rebound effect estimated,pre/post empirical consumption analysis,van den Brom et al. 2019 Energy & Buildings reference list
B155,10.1016/s0360-1323(02)00066-5,singapore:Wong et al. 2003,B,greening,,,Wong et al. 2003,Investigation of thermal benefits of rooftop garden in the tropical environment,Building and Environment,Singapore,Singapore,rooftop garden surface/air temperature reduction,before/after field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B156,10.1016/s0378-7788(01)00062-7,tbd:Niachou et al. 2001,B,greening,,,Niachou et al. 2001,Analysis of the green roof thermal properties and investigation of its energy performance,Energy and Buildings,TBD,Greece,"green roof energy savings (2-44% total, insulation-dependent)",field measurement + simulation,Nasr et al. 2024 Energies review (10.3390/en17205160)
B157,10.1016/S0378-7788(96)01000-6,"multiple-sites,-florida:Parker_1997",B,cool_roof,,,Parker_1997,Roof solar reflectance and cooling energy use: field research results from Florida,Energy and Buildings,"multiple sites, Florida",USA,substantial measured cooling energy savings in residences (field savings >20% reported when reflectance raised from 0.1-0.2 to 0.6),pre/post monitoring of occupied homes,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B158,10.1016/S0378-7788(96)01001-8,sacramento:Akbari_1997,B,cool_roof,,,Akbari_1997,Peak power and cooling energy savings of high-albedo roofs,Energy and Buildings,Sacramento,USA,seasonal cooling savings ~2.2 kWh/day (~264 kWh/season); peak demand -0.6 kW,"monitored house and two school buildings, roof albedo raised 0.18 to 0.73",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B159,10.1016/s0378-7788(98)00032-2,"tbd:Ca, Asaeda & Abu 1998",B,greening,,,"Ca, Asaeda & Abu 1998",Reductions in air conditioning energy caused by a nearby park,Energy and Buildings,TBD,Japan,park cooling reduced nearby air-conditioning energy,field measurement + energy estimate,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B160,10.1016/S2468-2667(18)30202-0,london:Mudway_2019,B,low_emission_zone,,,Mudway_2019,Impact of London's low emission zone on air quality and children's respiratory health: a sequential annual cross-sectional study,Lancet Public Health,London,UK,NO2 -6% to -9%; PM10 not reduced; PM2.5 equivocal; children above NO2 limits fell 99% to 34%,sequential annual cross-sectional with monitored/modelled exposure,Delgado-Lindeman 2025 ETRR review
B161,10.1021/acs.est.5b04886,guangzhou:Cao_2015,B,cool_roof,,,Cao_2015,"Cool Roofs in Guangzhou, China: Outdoor Air Temperature Reductions during Heat Waves and Typical Summer Conditions",Environmental Science & Technology,Guangzhou,China,"measured outdoor air temperature reductions above cool vs conventional roofs, larger during heat waves",paired roof outdoor measurement campaign on real buildings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B162,10.1021/es404363m,tbd:Maher 2013,B,greening,,,Maher 2013,Impact of roadside tree lines on indoor concentrations of traffic-derived particulate matter,Environmental Science & Technology,TBD,UK,~50% lower indoor PM behind temporary roadside tree line,before/after intervention measurement,Vigevani et al. 2024 Atmos Environ X (DOI printed in source appeared erroneous; marked TBD)
B163,10.1038/s41467-023-36972-5,phoenix:Schneider_2023,B,combined,,,Schneider_2023,Evidence-based guidance on reflective pavement for urban heat mitigation in Arizona,Nature Communications,Phoenix,USA,58 km reflective pavement seal (city pilot); surface -8.4C max at noon but mean radiant temp +2.3 to +5.1C midday; minimal air temp change; albedo degraded over 7 months,Micrometeorological comparison of three treated vs untreated neighborhoods,Systems 14:82 (2026) UHI systematic review
B164,10.1038/srep33708,tbd:Edmondson et al. 2016,B,greening,,,Edmondson et al. 2016,Soil surface temperatures reveal moderation of the urban heat island effect by trees and shrubs,Scientific Reports,TBD,UK,soil surface temperature moderation under trees/shrubs,distributed sensor field observation,Knight et al. 2021 Environ Evid (Additional file 7)
B165,10.1068/a200517,not-specified:Brown_White_1988,B,retrofit,,,Brown_White_1988,Stimulating energy conservation by sharing the savings: a community-based approach,Environment and Planning A,not specified,USA,measured savings from shared-savings community weatherization; savings rose ~190-200 kWh per 1000 kWh higher baseline (RECAP),pre/post billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
B166,10.1080/014311698214884,vancouver;-sacramento:Spronken-Smith & Oke 1998,B,greening,,,Spronken-Smith & Oke 1998,The thermal regime of urban parks in two cities with different summer climates,International Journal of Remote Sensing,Vancouver; Sacramento,Canada; USA,park cool island thermal regime,traverses + thermal remote sensing,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B167,10.1080/09613218.2012.690952,national-(3400-dwellings):SunikkaBlank_Galvin_2012,B,retrofit,,,SunikkaBlank_Galvin_2012,Introducing the prebound effect: the gap between performance and actual energy consumption,Building Research & Information,national (3400 dwellings),Germany,measured heating consumption ~30% below calculated EPR on average; gap grows with worse rating (prebound effect),cross-sectional measured vs calculated consumption,Sustainability 2024 16:7792 EPG-LCA review; also cited in van den Brom et al. 2019
B168,10.1080/10962247.2013.868380,cologne/berlin/munich:Cyrys_2014,B,low_emission_zone,,,Cyrys_2014,Low emission zones reduce PM10 mass concentrations and diesel soot in German cities,Journal of the Air & Waste Management Association,Cologne/Berlin/Munich,Germany,PM10 -5% to -12% ex-post; diesel-related PM reductions up to 60%,synthesis of ex-post monitoring evaluations,Delgado-Lindeman 2025 ETRR review
B169,10.1080/14733315.2012.11683966,"marousi,-athens:Santamouris_2012a",B,cool_roof,,,Santamouris_2012a,"Improving the Microclimate in a Dense Urban Area Using Experimental and Theoretical Techniques - The Case of Marousi, Athens",International Journal of Ventilation,"Marousi, Athens",Greece,16000 m2 reflective pavements (albedo 0.70-0.78); est. near-surface air temp -1.2 to -2.0 C,experimental + theoretical evaluation of large urban repaving,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B170,10.1080/17512549.2013.865560,rome:Pisello_2013,B,cool_roof,,,Pisello_2013,Active cool roof effect: impact of cool roofs on cooling system efficiency,Advances in Building Energy Research,Rome,Italy,cooling energy requirement -34%; roof overheating -20 C; cooler suction air for rooftop heat pumps,monitored industrial/office building with rooftop HVAC units,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B171,10.1080/17512549.2014.890540,"pantnagar,-uttarakhand:Arumugam_2014",B,cool_roof,,,Arumugam_2014,Experimental determination of comfort benefits from cool-roof application to an un-conditioned building in India,Advances in Building Energy Research,"Pantnagar, Uttarakhand",India,seasonal avg indoor air temp -1.07 C (peak -1.38 C); ceiling heat flux -14.4 W/m2; +8% comfort hours,"coated vs uncoated adjoining roof sections, 6-month monitoring",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B172,10.1088/1748-9326/7/1/014029,new-york:Gaffin_2012,B,cool_roof,,,Gaffin_2012,Bright is the new black - multi-year performance of high-albedo roofs in an urban climate,Environmental Research Letters,New York,USA,Three monitored white roofs on real buildings: peak rooftop temp reduced ~43F average; professional membranes kept aged albedo >0.50,Multi-year field monitoring of three in-service NYC building roofs (NYC CoolRoofs context),IOPscience full text and NASA GISS pages fetched
B173,10.1088/1748-9326/8/1/015023,"davis,-california:Li_2013",B,cool_roof,,,Li_2013,The use of reflective and permeable pavements as a potential practice for heat island mitigation and stormwater management,Environmental Research Letters,"Davis, California",USA,permeable pavements up to 10-25 C cooler than impermeable when wet; albedo raised 0.1 to 0.3 cuts surface temp ~12 C,instrumented outdoor pavement test sections with irrigation trials,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B174,10.1088/1748-9326/ab87d4,los-angeles:Middel_2020,B,cool_roof,,,Middel_2020,Solar reflective pavements - A policy panacea to heat mitigation?,Environmental Research Letters,Los Angeles,USA,coated pavement surface -6 C (13000 m2; albedo 0.06-0.08 raised to 0.18-0.25),field observations of city cool pavement program,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B175,10.1088/1748-9326/ac30c1,london:Ma_2021,B,low_emission_zone,,,Ma_2021,Has the ultra low emission zone in London improved air quality?,Environmental Research Letters,London,UK,NO2 change post-ULEZ evaluated; review synthesis: ULEZ studies found NO2 -10% to -20% (3 studies) or <5% (1 study),before/after counterfactual analysis of monitoring data,Delgado-Lindeman 2025 ETRR review
B176,10.1088/1748-9326/ac58a8,"covina,-los-angeles:Ko_2022",B,cool_roof,,,Ko_2022,Measuring the impacts of a real-world neighborhood-scale cool pavement deployment on albedo and temperatures in Los Angeles,Environmental Research Letters,"Covina, Los Angeles",USA,albedo +0.18 (0.08 to 0.26); max neighborhood surface temp -5 C and air temp -0.2 C; first measured air temp reduction,controlled neighborhood-scale (0.64 km2) field measurement with degradation tracking,cited in Kousis & Pisello 2023 refs; abstract fetched via NSF PAR
B177,10.1088/2515-7620/ad2a8e,"pacoima,-los-angeles:Taha_2024",B,cool_roof,,,Taha_2024,"Micrometeorological effects and thermal-environmental benefits of cool pavements: findings from a detailed observational field study in Pacoima, California",Environmental Research Communications,"Pacoima, Los Angeles",USA,max street-segment air temp -1.9 C (heatwave afternoons); surface up to -9.2 C; mean surface -2.6 C; PET -0.2 to -0.6 C,"multi-platform observational field study, test vs reference street segments + difference-of-differences",found via web search; full record verified via Crossref
B178,10.1136/oem.2007.036533,london:Tonne_2008,B,low_emission_zone,,,Tonne_2008,Air pollution and mortality benefits of the London congestion charge: spatial and socioeconomic inequalities,Occupational and Environmental Medicine,London,UK,"Modest concentration reductions across Greater London, larger within charging zone; 183 years of life per 100000 in zone wards",before/after dispersion modelling with monitoring data,cited in Johansson 2009 (fetched) and Invernizzi 2011 (fetched)
B179,10.1136/oem.2010.063750,rome:Cesaroni_2012,B,low_emission_zone,,,Cesaroni_2012,Health benefits of traffic-related air pollution reduction in different socioeconomic groups: the effect of low-emission zoning in Rome,Occupational and Environmental Medicine,Rome,Italy,PM10 emissions -33%; NO2 -58% within zone; 921 years-of-life gained per 100000,ex-post full-chain accountability evaluation,Delgado-Lindeman 2025 ETRR review
B180,10.1155/2015/747259,tbd:Jänicke et al. 2014,B,greening,,,Jänicke et al. 2014,Evaluating the Effects of Façade Greening on Human Bioclimate in a Complex Urban Environment,Advances in Meteorology,TBD,Germany,facade greening effect on outdoor bioclimate,field measurement + modelling,Knight et al. 2021 Environ Evid (Additional file 7)
B181,10.1162/rest_a_01087,illinois-(state):Christensen_2021,B,retrofit,,,Christensen_2021,Decomposing the wedge between projected and realized returns in energy efficiency programs,Review of Economics and Statistics,Illinois (state),USA,realized savings below projections; wall insulation realization shortfall up to 20%; $7.65/tCO2 abated,quasi-experimental billing analysis (Illinois WAP),Giandomenico et al. 2022 Annu Rev Resour Econ
B182,10.1177/0143624410394518,athens:Gaitani_2011,B,combined,,,Gaitani_2011,Improving the microclimate in urban areas: a case study in the centre of Athens,Building Services Engineering Research and Technology,Athens,Greece,Combined cool pavements + green spaces + solar control + earth-to-air heat exchangers on 4160 m2 square; cool pavement surface up to 4.8C cooler than asphalt (measured); local summer air temp decrease up to 2C,Pre/post field monitoring campaigns of implemented bioclimatic rehabilitation + CFD-assisted evaluation,Urban Climate 2023 cool pavements systematic review (Table 5); also Akbari et al. 2016 JCEM
B183,10.1371/journal.pone.0102999,17-cities:Morfeld_2014,B,low_emission_zone,,,Morfeld_2014,"Effectiveness of low emission zones: Large scale analysis of changes in environmental NO2, NO and NOx concentrations in 17 German cities",PLoS One,17 cities,Germany,NO2 -4%; NO and NOx -4% (small but significant),before/after monitoring in/out zones (fixed-effects regression),Delgado-Lindeman 2025 ETRR review
B184,10.1515/noise-2020-0015,monza:Silvaggio_2020,B,low_emission_zone,,,Silvaggio_2020,Life Monza: Comparison between ante and post-operam noise and air quality monitoring activities in a noise Low emission zone,Noise Mapping,Monza,Italy,NO2 -3% inside zone (small +5% outside); PM10 not significant,ante/post-operam monitoring with GAM models,Delgado-Lindeman 2025 ETRR review
B185,10.2134/jeq2015.01.0049,tbd:Sugawara et al. 2016,B,greening,,,Sugawara et al. 2016,Thermal influence of a large green space on a hot urban environment,Journal of Environmental Quality,TBD,Japan,large green space cooling of surroundings,field observation,Knight et al. 2021 Environ Evid (Additional file 7)
B186,10.2166/wst.2008.187,tokyo-(shiodome):Yamagata_2008,B,combined,,,Yamagata_2008,Heat island mitigation using water retentive pavement sprinkled with reclaimed wastewater,Water Science and Technology,Tokyo (Shiodome),Japan,Water-retentive pavement + reclaimed wastewater sprinkling; road surface -8C daytime and -3C night; sensible-to-latent heat flux shift; WBGT measured,Field survey comparing sprinkled vs non-sprinkled areas of implemented system,Cited in Hendel 2016 pavement-watering thesis lit review; verified via doi.org record
B187,10.2208/prohe.38.381,nagaoka:Kinouchi_Kanda_1997,B,combined,,,Kinouchi_Kanda_1997,An observation on the climatic effect of watering on paved roads,Journal of Hydroscience and Hydraulic Engineering,Nagaoka,Japan,Road watering using preexisting snow-melting pipe infrastructure; observed cooling of paved road surfaces and local climate during hot weather,Field observation of watered vs unwatered paved road sections,Hendel 2016 PhD thesis pavement-watering literature review (fetched)
B188,10.3354/cr006045,los-angeles-(san-gabriel-valley):Grimmond_1996,B,combined,,,Grimmond_1996,"Influence of tree cover on summertime surface energy balance fluxes, San Gabriel Valley, Los Angeles",Climate Research,Los Angeles (San Gabriel Valley),USA,Paired neighborhoods with 30% vs 10% irrigated tree/shrub cover; higher latent heat flux but also higher net radiation and slightly higher ambient temps at high-tree site,Simultaneous two-site surface energy balance field campaign (18 clear-sky summer days),Santamouris et al. 2018 JCEM greenery review (combined-technologies section)
B189,10.3368/jhr.56.4.0218-9363r2,stockholm:Simeonova_2021,B,low_emission_zone,,,Simeonova_2021,"Congestion pricing, air pollution, and children's health",Journal of Human Resources,Stockholm,Sweden,PM10 -13.7% (4.6 ug/m3); NO2 -18.7% (6.2 ug/m3); child acute asthma visits -50%,difference-in-differences vs other Swedish city centres,Lancet Public Health 2023 review
B190,10.3386/w21331,michigan-(state):Fowlie_Greenstone_Wolfram_2018,B,retrofit,,,Fowlie_Greenstone_Wolfram_2018,Do energy efficiency investments deliver? Evidence from the Weatherization Assistance Program,Quarterly Journal of Economics,Michigan (state),USA,measured savings well below engineering projections (realization rate <1); $329/tCO2 abated,randomized controlled trial with billing data,Giandomenico et al. 2022 Annu Rev Resour Econ
B191,10.3390/app132011451,gimhae:Lee_2023,B,combined,,,Lee_2023,The evaluation of the temperature reduction effects of cool roofs and cool pavements as urban heatwave mitigation strategies,Applied Sciences,Gimhae,South Korea,"Combined cool roofs + cool pavements installed district-wide; roof surface -15.5C avg (max 22.9C), indoor air -2.7C; pavement surface -1.8 to -5.8C (parking) and -2.5 to -4.3C (alleys)",Field experiment with thermal imaging + temperature loggers at 6 roof sites and multiple pavement sites,Systems 14:82 (2026) UHI systematic review
B192,10.3390/atmos9090332,baoji:Qiu et al. 2018,B,greening,,,Qiu et al. 2018,"The reducing effect of green spaces with different vegetation structure on atmospheric particulate matter concentration in BaoJi City, China",Atmosphere,Baoji,China,green space vegetation structure effect on PM concentration,in-situ green space measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B193,10.3390/en13051246,tbd:Peñalvo López et al. 2020,B,greening,,,Peñalvo López et al. 2020,Study of the Improvement on Energy Efficiency for a Building in the Mediterranean Area by the Installation of a Green Roof System,Energies,TBD,Spain,green roof ~30% cooling and ~15% heating demand reduction,before/after building energy measurement,direct web search (fetched open-access article)
B194,10.3390/en6020598,hong-kong:Peng_Jim_2013,B,greening,,,Peng_Jim_2013,Green-roof effects on neighborhood microclimate and human thermal sensation,Energies,Hong Kong,China,Green roof effects on neighborhood air temperature and outdoor thermal sensation,field measurement around implemented green roof,found via Crossref bibliographic search; verified title match 0.993
B195,10.3390/en8065303,tbd-(tropical-queensland):Miller_2015,B,cool_roof,,,Miller_2015,Analysis of cool roof coatings for residential demand side management in tropical Australia,Energies,TBD (tropical Queensland),Australia,reduced cooling demand of monitored residences (demand side management benefit),field monitoring of occupied homes with cool roof coatings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B196,10.3390/ijerph110505094,munich:Fensterer_2014,B,low_emission_zone,,,Fensterer_2014,Evaluation of the impact of low emission zone and heavy traffic ban in Munich (Germany) on the reduction of PM10 in ambient air,International Journal of Environmental Research and Public Health,Munich,Germany,PM10 -13% at busy road; -4.5% at urban background site,before/after monitoring vs reference site (semi-parametric regression),Delgado-Lindeman 2025 ETRR review
B197,10.3390/ijerph16081465,baoji:Qiu et al. 2019,B,greening,,,Qiu et al. 2019,"Difference of airborne particulate matter concentration in urban space with different green coverage rates in Baoji, China",International Journal of Environmental Research and Public Health,Baoji,China,PM concentration vs green coverage rate,comparative field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B198,10.3390/ijerph18189705,nanjing:Yang & Chen 2021,B,greening,,,Yang & Chen 2021,PM2.5 pollutant concentrations in greenspaces of Nanjing are high but can be lowered with environmental planning,International Journal of Environmental Research and Public Health,Nanjing,China,PM2.5 concentrations in greenspaces vs planning factors,greenspace field monitoring,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B199,10.3390/ma14123431,pingtung:Yang_2021,B,cool_roof,,,Yang_2021,A Study on Heat Storage and Dissipation Efficiency at Permeable Road Pavements,Materials,Pingtung,Taiwan,heat storage/dissipation of semi- and fully-permeable asphalt on 850 m2 of real road,monitored large-scale permeable pavement application,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B200,10.3390/smartcities3020025,madrid:Lebrusan_Toutouh_2020,B,low_emission_zone,,,Lebrusan_Toutouh_2020,Using smart city tools to evaluate the effectiveness of a Low Emissions Zone in Spain: Madrid Central,Smart Cities,Madrid,Spain,NO2 -14% to -38% by station; PM2.5 0 to -8%; PM10 0 to -4%; no edge effects,"before/after monitoring (22 sensors, Mann-Whitney tests)",Delgado-Lindeman 2025 ETRR review
B201,10.3390/su14084843,seoul:Park_2022,B,cool_roof,,,Park_2022,Effects of a Cool Roof System on the Mitigation of Building Temperature: Empirical Evidence from a Field Experiment,Sustainability,Seoul,South Korea,"roof surface temp -5.6 C; indoor air -0.56 C (annual average, regression-controlled)","four-season field experiment, conventional vs cool roof with data loggers",found via web search; metadata verified via Crossref
B202,10.3390/su16229919,"gimhae,-yechun,-geyang,-sangju:Kwon_2024",B,combined,,,Kwon_2024,Exploring the heat mitigation effects of urban climate adaptation facilities,Sustainability,"Gimhae, Yechun, Geyang, Sangju",South Korea,Combined program: cooling fog -3.1C ambient; cool roofs -2 to -3C surface; shading structures -10C surface; small water paths -1.5C air; WBGT/UTCI comfort improved,Multi-year (2021-2023) field deployment with continuous IoT sensor monitoring across four cities,Systems 14:82 (2026) UHI systematic review
B203,10.3390/su9081379,aracaju:Anjos & Lopes 2017,B,greening,,,Anjos & Lopes 2017,"Urban Heat Island and Park Cool Island intensities in the coastal city of Aracaju, North-Eastern Brazil",Sustainability,Aracaju,Brazil,park cool island intensity (air temperature),urban station network / field observation,Knight et al. 2021 Environ Evid (Additional file 7)
B204,10.3390/w11122635,taipei:Cheng_2019,B,cool_roof,,,Cheng_2019,Field testing of porous pavement performance on runoff and temperature control in Taipei City,Water,Taipei,Taiwan,porous pavement surface -6.6 C summer / -0.7 C winter (200 m sidewalk + 200 m bike lane),monitored street-scale installation,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B205,10.4103/ijoem.ijoem_120_19,ahmedabad:Vellingiri_2020,B,cool_roof,,,Vellingiri_2020,Combating climate change-induced heat stress: Assessing cool roofs and its impact on the indoor ambient temperature of the households in the urban slums of Ahmedabad,Indian Journal of Occupational and Environmental Medicine,Ahmedabad,India,"Cool roof interventions (solar reflective white paint on tin, Modroof, Thermocol insulation) significantly reduced indoor ambient temperature vs control households",Intervention vs control household comparison across 16 slum dwellings with continuous data loggers,PMC full text and Ovid journal page fetched
B206,10.5547/01956574.37.4.jziv,not-specified:GraffZivin_Novan_2016,B,retrofit,,,GraffZivin_Novan_2016,Upgrading efficiency and behavior: electricity savings from residential weatherization programs,Energy Journal,not specified,USA,measured electricity savings; behaviorally encouraged participants saved 16.9% more,RCT/quasi-experimental billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
B207,10.5547/issn0195-6574-ej-vol8-no2-7,pacific-northwest-(region):Hirst_1987,B,retrofit,,,Hirst_1987,Energy and economic effects of utility financial incentive programs: the BPA residential weatherization program,Energy Journal,Pacific Northwest (region),USA,measured electricity savings; wall insulation below predictions; storm windows least cost-effective,program evaluation with metered consumption,Giandomenico et al. 2022 Annu Rev Resour Econ
